"Name ","Purpose","Quantity","Price in USD","Link","Distributor"
"PCB(moq5)","The Main Board","5","4","https://jlcpcb.com/","JLC PCB"
"Waveshare RP2040-Zero ","The Controller Board","1","4.5","https://robu.in/product/waveshare-rp2040-zero-without-header/","Robu"
"SMD LED","For the board","20","0.2","https://robu.in/product/xl-1608ubc-04-xinglight-20ma-240mcd-colorless-transparent-lens-20%e2%84%8385%e2%84%83-positive-stick-455nm475nm-blue-120-70mw-3-3v-0603-led-indication-discrete-rohs/","Robu"
"Microphone Module","For the audio input","1","1.6","https://robu.in/product/inmp441-mems-high-precision-omnidirectional-microphone-module-i2s/","Robu"
"Joystick Switches","For the Control","1","0.35","https://robu.in/product/10109-6p-wx-shou-han-smd-6p10x10mm-multi-directional-switches-rohs/","Robu"
"47 Ohm 0.25W Metal Film Resistor","For the led","40","0.12","https://robu.in/product/47-ohm-0-25w-metal-film-resistor-pack-of-100/","Robu"
"Rotary Encoder","For the Control","1","0.4","https://robu.in/product/hongyan-rs11-threadless-insert/","Robu"
"1N4148 1W Zener Diode","For the keys","20","0.3","https://robu.in/product/1n4148-1w-zener-diode-pack-of-50/","Robu"
"Keycaps(set)","For the keys","1","7.5","https://neomacro.in/products/mahjong-mx-style-keycaps?variant=50665429369110","Neomacro"
"Low Profile Switches","For the Board","1","13","https://neomacro.in/products/kailh-choc-v2-low-profile-switches?variant=51316563312918","Neomacro"
"PLA Filament","For 3d Print ( I have 3d Printer)","1","6","https://india.numakers.com/products/pla?variant=45708299305129","Numakers"
"Shipping","incl. PCB","","16","",""
"Tax","","","2.2","",""
"Total round off","","","60","",""
